annual_return,annual_volatility,max_drawdown,win_rate,sharpe,avg_trade_return,signal_days,merged_signals,avg_holding_days,total_return,variety,top_k,lookback,threshold
0.3273162106905161,0.10171994336751562,-0.02899944356624562,0.5789473684210527,3.2178174687722536,0.004954163184020721,39,23,1.6521739130434783,0.11892084462758024,IF,3,1,0.0
0.3236396979142375,0.09651303142702396,-0.016515926071569043,0.59375,3.3533264174688164,0.005628294629885666,33,20,1.6,0.11768994204207517,IF,3,1,0.03
0.16398800663953006,0.09470493155860345,-0.04208887191238231,0.5,1.7315677646422691,0.0025798059182230576,40,24,1.6666666666666667,0.06211133048068107,IF,10,1,0.0
0.16398800663953006,0.09470493155860345,-0.04208887191238231,0.5,1.7315677646422691,0.0025798059182230576,40,24,1.6666666666666667,0.06211133048068107,IF,10,1,0.03
0.16398800663953006,0.09470493155860345,-0.04208887191238231,0.5,1.7315677646422691,0.0025798059182230576,40,24,1.6666666666666667,0.06211133048068107,IF,10,1,0.05
0.1463941706892593,0.10586574358686579,-0.06333530629613193,0.5,1.3828285310171067,0.0021613479135616166,44,26,1.6923076923076923,0.055711435354517835,IF,8,1,0.05
0.1280923398940197,0.07599934240699838,-0.016515926071569043,0.52,1.685440108258415,0.0032295075772649597,25,15,1.6666666666666667,0.04899081763112645,IF,3,1,0.08
0.12802414999652112,0.07704605216709398,-0.01769678173494804,0.5357142857142857,1.6616574943887865,0.002848237695649249,28,17,1.6470588235294117,0.04896565509272954,IF,3,1,0.05
0.12587095589496045,0.10656755800936724,-0.06333530629613193,0.4888888888888889,1.181137658084428,0.0018167477262868489,45,27,1.6666666666666667,0.04817063938769994,IF,8,1,0.0
0.12587095589496045,0.10656755800936724,-0.06333530629613193,0.4888888888888889,1.181137658084428,0.0018167477262868489,45,27,1.6666666666666667,0.04817063938769994,IF,8,1,0.03
0.12392388736647297,0.10528317634392442,-0.02881787599563701,0.5428571428571428,1.177053083596715,0.003402904951412322,36,14,2.5,0.04745094066370403,IF,3,3,0.03
0.12374448817467543,0.10942315499104488,-0.05615808115532506,0.4722222222222222,1.1308802801820381,0.00475414950375781,36,10,3.6,0.047384591166111045,IF,10,5,0.0
0.12374448817467543,0.10942315499104488,-0.05615808115532506,0.4722222222222222,1.1308802801820381,0.00475414950375781,36,10,3.6,0.047384591166111045,IF,10,5,0.03
0.12374448817467543,0.10942315499104488,-0.05615808115532506,0.4722222222222222,1.1308802801820381,0.00475414950375781,36,10,3.6,0.047384591166111045,IF,10,5,0.05
0.12374448817467543,0.10942315499104488,-0.05615808115532506,0.4722222222222222,1.1308802801820381,0.00475414950375781,36,10,3.6,0.047384591166111045,IF,10,5,0.08
0.1202537038113527,0.11161314466139358,-0.04576285192388441,0.5476190476190477,1.0774152468884595,0.0033959168039223403,43,14,3.0,0.04609227600336574,IF,3,3,0.0
0.11644042378266128,0.11018621140629498,-0.06272976310425982,0.5319148936170213,1.0567603904022513,0.0024172213529615183,48,19,2.473684210526316,0.044677791515634446,IF,8,3,0.0
0.11644042378266128,0.11018621140629498,-0.06272976310425982,0.5319148936170213,1.0567603904022513,0.0024172213529615183,48,19,2.473684210526316,0.044677791515634446,IF,8,3,0.03
0.11644042378266128,0.11018621140629498,-0.06272976310425982,0.5319148936170213,1.0567603904022513,0.0024172213529615183,48,19,2.473684210526316,0.044677791515634446,IF,8,3,0.05
0.10160215873470047,0.09225126109437652,-0.04208887191238231,0.4594594594594595,1.1013633583909235,0.0018123917024035839,37,22,1.6818181818181819,0.03914583039139452,IF,10,1,0.08
0.08170475865122628,0.08945394574750196,-0.06333530629613193,0.5,0.9133723277210265,0.0014779784720183042,40,22,1.8181818181818181,0.031656727039253374,IF,8,1,0.08
0.05894523462310697,0.11529244644414452,-0.06314821976558394,0.4523809523809524,0.511267098939253,0.002067371248706651,42,12,3.5,0.02298775812535081,IF,8,5,0.0
0.05894523462310697,0.11529244644414452,-0.06314821976558394,0.4523809523809524,0.511267098939253,0.002067371248706651,42,12,3.5,0.02298775812535081,IF,8,5,0.03
0.05894523462310697,0.11529244644414452,-0.06314821976558394,0.4523809523809524,0.511267098939253,0.002067371248706651,42,12,3.5,0.02298775812535081,IF,8,5,0.05
0.04589267937212993,0.09404834644748747,-0.05261950781778113,0.4864864864864865,0.4879690191868968,0.0016624519720212967,37,12,3.0833333333333335,0.017965326263399195,IF,10,3,0.0
0.04589267937212993,0.09404834644748747,-0.05261950781778113,0.4864864864864865,0.4879690191868968,0.0016624519720212967,37,12,3.0833333333333335,0.017965326263399195,IF,10,3,0.03
0.04589267937212993,0.09404834644748747,-0.05261950781778113,0.4864864864864865,0.4879690191868968,0.0016624519720212967,37,12,3.0833333333333335,0.017965326263399195,IF,10,3,0.05
0.0379579034369939,0.09393908542258463,-0.05261950781778113,0.4722222222222222,0.40406933137831197,0.001538437875114984,36,11,3.272727272727273,0.014893642023638298,IF,10,3,0.08
0.026016739559902025,0.09332005800464688,-0.06079443507335036,0.4594594594594595,0.2787904349417198,0.0006404853199872186,38,19,1.9473684210526316,0.010244204322767736,IF,5,3,0.0
0.023546901642657492,0.08014662702161449,-0.02741291579653049,0.5,0.29379778685267943,0.0008982711005600461,26,11,2.3636363636363638,0.009278475003827502,IF,3,3,0.08
0.01847874931621396,0.09901109550049172,-0.06314821976558394,0.4473684210526316,0.18663311644826905,0.0009286132981294104,38,10,3.8,0.007292370204827758,IF,8,5,0.08
0.007206942722022047,0.0897755930435828,-0.06079443507335036,0.47058823529411764,0.08027730564278575,0.00024198650844360698,34,19,1.7894736842105263,0.0028537056817399264,IF,5,3,0.03
-0.0001963082692795215,0.09147500735436007,-0.06272976310425982,0.5,-0.0021460317408781783,4.802194325168735e-05,42,16,2.625,-7.790471934510101e-05,IF,8,3,0.08
-0.01742495898445995,0.08509994952161568,-0.036105906514538266,0.5,-0.20475874642010158,-0.0005166362824626236,30,12,2.5,-0.0069513460993647636,IF,3,3,0.05
-0.02424936121620891,0.08504745723254213,-0.06079443507335036,0.42857142857142855,-0.2851274100988672,-0.000581243274173336,28,14,2.0,-0.009694063132152264,IF,5,3,0.08
-0.02539565764996743,0.09453080844773737,-0.08561739174501737,0.45714285714285713,-0.2686495341252451,-0.0006336840069344122,36,13,2.6923076923076925,-0.01015589179011378,IF,5,5,0.0
-0.03319371516582148,0.0868734049118892,-0.06079443507335036,0.45161290322580644,-0.38209294547034267,-0.0006899637789796872,31,17,1.8235294117647058,-0.01330636340279534,IF,5,3,0.05
-0.07816424710648129,0.10079365043385737,-0.08841033800466847,0.4722222222222222,-0.7754878087065028,-0.00387345539887278,37,8,4.5,-0.03178093463714515,IF,3,5,0.03
-0.11551653963896868,0.07535355239835513,-0.08121169244624749,0.45161290322580644,-1.5329939460357844,-0.003399516392058068,31,14,2.2142857142857144,-0.047543553800307836,IF,5,5,0.03
-0.13237692104313903,0.10858079309184249,-0.10245496878100724,0.46511627906976744,-1.2191559600340063,-0.007804855502076118,44,7,6.142857142857143,-0.05479020685880731,IF,3,5,0.0
-0.13594557973056953,0.09391598862841347,-0.0923480656254364,0.425,-1.4475232781550083,-0.0018937826026348562,40,30,1.3333333333333333,-0.05633489627698096,IF,5,1,0.03
-0.1386786885432697,0.07153423147786653,-0.08841033800466847,0.4230769230769231,-1.938633933408209,-0.011659757336219734,26,5,5.2,-0.05752052300918453,IF,3,5,0.08
-0.14314003921718188,0.06941042043056879,-0.07891844976500317,0.4,-2.0622269441569627,-0.006703153220852021,25,9,2.7777777777777777,-0.05946074892508513,IF,5,5,0.08
-0.14796679574983385,0.100320420294232,-0.09815336697344212,0.4090909090909091,-1.4749419441810425,-0.0019388704080128168,44,32,1.375,-0.06156676331198929,IF,5,1,0.0
-0.1509945652301452,0.07156965011526578,-0.08504744478843407,0.42857142857142855,-2.1097569289071894,-0.0053266964493246804,28,12,2.3333333333333335,-0.06289151720054764,IF,5,5,0.05
-0.17315677320312772,0.07667807582303235,-0.09337175148393717,0.43333333333333335,-2.258230548230781,-0.012396567362801777,30,6,5.0,-0.07267617497623258,IF,3,5,0.05
-0.17600466658816794,0.09090869477165266,-0.0923480656254364,0.39473684210526316,-1.936059768873176,-0.002705256299830142,38,28,1.3571428571428572,-0.07394494571491728,IF,5,1,0.05
-0.19498463426123225,0.0864940277970077,-0.0923480656254364,0.35294117647058826,-2.254313265637721,-0.003547522322449611,34,24,1.4166666666666667,-0.08246909293011861,IF,5,1,0.08
